# Sample data series with data ranging from 23.02.2010 00:15 to 27.02.2010 23:45
20100227123000 426.000
20100227124500 426.000
20100227130000 427.000
20100227131500 427.000
20100227133000 428.000
20100227134500 428.000
20100227140000 429.000
20100227141500 429.000
20100227143000 430.000
20100227144500 431.000
20100227150000 431.000
20100227151500 431.000
20100227153000 431.000
20100227154500 431.000
20100227160000 432.000
20100227161500 432.000
20100227163000 432.000
20100227164500 432.000
20100227170000 432.000
20100227171500 432.000
20100227173000 433.000
20100227174500 434.000
20100227180000 434.000
20100227181500 434.000
20100227183000 435.000
20100227184500 435.000
20100227190000 435.000
20100227191500 436.000
20100227193000 436.000
20100227194500 437.000
20100227200000 437.000
20100227201500 438.000
20100227203000 438.000
20100227204500 439.000
20100227210000 439.000
20100227211500 440.000
20100227213000 441.000
20100227214500 441.000
20100227220000 442.000
20100227221500 443.000
20100227223000 443.000
20100227224500 444.000
20100227230000 445.000
20100227231500 445.000
20100227233000 446.000
20100227234500 446.000
